ROUTE,vols,annulations,distance,taux_annulation,origine,destination,rang,part_routes_cumulee,part_annulations_cumulee
FLL -> JFK,4432,105,1069.0,2.36913357400722,FLL,JFK,125,2.6635414447048795,23.098478783026422
LGA -> MDW,2219,105,725.0,4.73186119873817,LGA,MDW,126,2.684849776262519,23.218574859887912
DCA -> ATL,6461,104,547.0,1.6096579476861168,DCA,ATL,127,2.706158107820158,23.337527164588813
ORD -> CMI,1783,103,135.0,5.7767807066741454,ORD,CMI,128,2.7274664393777965,23.455335697129133
JFK -> RDU,1595,103,427.0,6.4576802507836994,JFK,RDU,129,2.7487747709354355,23.57314422966945
ORD -> SFO,7378,102,1846.0,1.3824884792626728,ORD,SFO,130,2.7700831024930745,23.689808990049183
MDW -> LGA,2184,102,725.0,4.670329670329671,MDW,LGA,131,2.791391434050714,23.806473750428914
ORD -> PIA,2177,102,130.0,4.6853468075333025,ORD,PIA,132,2.812699765608353,23.92313851080865
EWR -> BNA,1948,102,748.0,5.236139630390143,EWR,BNA,133,2.834008097165992,24.03980327118838
ATL -> ORD,6493,101,606.0,1.5555213306637918,ATL,ORD,134,2.855316428723631,24.155324259407525
ATL -> EWR,5091,101,746.0,1.9838931447652721,ATL,EWR,135,2.87662476028127,24.270845247626674
ORD -> CLT,4755,101,599.0,2.124079915878023,ORD,CLT,136,2.897933091838909,24.38636623584582
EWR -> ORD,3706,101,719.0,2.7253103076092824,EWR,ORD,137,2.919241423396548,24.501887224064966
BNA -> EWR,1853,101,748.0,5.450620615218565,BNA,EWR,138,2.940549754954187,24.617408212284115
SFO -> SNA,4314,100,372.0,2.3180343069077423,SFO,SNA,139,2.961858086511826,24.731785428342672
DFW -> ABI,2327,100,158.0,4.297378599054577,DFW,ABI,140,2.983166418069465,24.846162644401236
EWR -> DTW,2173,100,488.0,4.601932811780948,EWR,DTW,141,3.004474749627104,24.960539860459797
ORD -> MEM,2228,99,491.0,4.443447037701975,ORD,MEM,142,3.025783081184743,25.073773304357772
LGA -> RIC,1383,99,292.0,7.158351409978309,LGA,RIC,143,3.0470914127423825,25.187006748255747
ATL -> DCA,6466,98,547.0,1.5156201670275287,ATL,DCA,144,3.0683997443000215,25.299096419993138
EWR -> ATL,5097,98,746.0,1.922699627231705,EWR,ATL,145,3.0897080758576605,25.411186091730524
LGA -> CLT,3658,98,544.0,2.6790595954073266,LGA,CLT,146,3.1110164074152995,25.523275763467918
DFW -> SHV,2280,98,190.0,4.298245614035088,DFW,SHV,147,3.1323247389729385,25.63536543520531
DEN -> DFW,6135,97,641.0,1.5810920945395273,DEN,DFW,148,3.1536330705305775,25.746311334782114
SNA -> SFO,4313,97,372.0,2.2490146070020867,SNA,SFO,149,3.174941402088217,25.857257234358915
ORD -> XNA,2597,97,522.0,3.7350789372352713,ORD,XNA,150,3.1962497336458555,25.96820313393572
ABI -> DFW,2329,97,158.0,4.164877629884071,ABI,DFW,151,3.217558065203495,26.079149033512522
MCO -> EWR,4790,95,937.0,1.9832985386221296,MCO,EWR,152,3.2388663967611335,26.187807388768157
IAH -> DFW,3950,95,224.0,2.4050632911392404,IAH,DFW,153,3.2601747283187725,26.296465744023788
LIT -> ORD,2039,95,552.0,4.659146640510055,LIT,ORD,154,3.281483059876412,26.405124099279426
SAN -> OAK,3552,94,446.0,2.6463963963963963,SAN,OAK,155,3.3027913914340505,26.512638682374472
RIC -> LGA,1381,94,292.0,6.806661839246922,RIC,LGA,156,3.32409972299169,26.620153265469522
LAW -> DFW,1331,94,140.0,7.062359128474831,LAW,DFW,157,3.3454080545493285,26.72766784856457
ORD -> ATL,6391,93,606.0,1.455171334689407,ORD,ATL,158,3.366716386106968,26.834038659499026
DFW -> DEN,6058,93,641.0,1.5351601188511061,DFW,DEN,159,3.388024717664607,26.94040947043349
MAF -> DFW,1169,93,309.0,7.955517536355859,MAF,DFW,160,3.409333049222246,27.046780281367948
LAX -> DFW,6649,92,1235.0,1.3836667167995187,LAX,DFW,161,3.430641380779885,27.15200732014183
DFW -> PHL,3625,92,1303.0,2.5379310344827584,DFW,PHL,162,3.4519497123375236,27.257234358915706
LGA -> DAL,2563,92,1381.0,3.5895435037065937,LGA,DAL,163,3.473258043895163,27.36246139768958
BTR -> DFW,2333,92,383.0,3.9434204886412347,BTR,DFW,164,3.494566375452802,27.467688436463455
CRP -> DFW,1497,92,354.0,6.145624582498329,CRP,DFW,165,3.5158747070104415,27.57291547523733
LEX -> ORD,2015,91,323.0,4.516129032258064,LEX,ORD,166,3.53718303856808,27.67699874185062
ORD -> FNT,1859,91,223.0,4.895104895104895,ORD,FNT,167,3.5584913701257195,27.781082008463915
DFW -> LAX,6634,90,1235.0,1.3566475731082304,DFW,LAX,168,3.579799701683358,27.884021502916617
SHV -> DFW,2280,90,190.0,3.9473684210526314,SHV,DFW,169,3.6011080332409975,27.986960997369327
DTW -> EWR,2175,90,488.0,4.137931034482759,DTW,EWR,170,3.622416364798636,28.08990049182203
ORD -> RIC,2141,90,642.0,4.203643157403083,ORD,RIC,171,3.643724696356275,28.19283998627473
ORD -> LEX,2014,90,323.0,4.468718967229394,ORD,LEX,172,3.6650330279139145,28.29577948072744
CLT -> ORD,4641,89,599.0,1.9176901529842707,CLT,ORD,173,3.686341359471553,28.39757520301956
BWI -> ORD,2466,89,622.0,3.6090835360908353,BWI,ORD,174,3.7076496910291925,28.49937092531168
DFW -> LAW,1330,89,140.0,6.691729323308271,DFW,LAW,175,3.7289580225868315,28.601166647603797
PHL -> DFW,3625,88,1303.0,2.4275862068965517,PHL,DFW,176,3.7502663541444705,28.70181859773533
OKC -> DFW,2711,88,175.0,3.246034673552195,OKC,DFW,177,3.7715746857021095,28.802470547866864
