DATE,vols,taux_annulation,taux_retard,jour_annee,fenetre
2015-02-05,16010,2.2923173016864458,28.63645105455478,36,Hors vacances
2015-02-06,16023,1.4416775884665793,13.38827258320127,37,Hors vacances
2015-02-07,12259,0.5139081491149359,8.539288939978652,38,Hors vacances
2015-02-08,14726,3.239168817058264,17.630078152502993,39,Hors vacances
2015-02-09,15891,7.929016424391165,20.539873938065224,40,Hors vacances
2015-02-10,15176,1.298102266736953,12.455706358226918,41,Hors vacances
2015-02-11,15541,0.31529502606009907,11.550643138775774,42,Hors vacances
2015-02-12,16303,0.22695209470649574,18.882323978335794,43,Hors vacances
2015-02-13,16476,0.2974022821073076,19.31299104695779,44,Hors vacances
2015-02-14,12611,3.6158908889065104,20.711331679073613,45,Hors vacances
2015-02-15,14408,9.536368684064408,22.444273635664874,46,Hors vacances
2015-02-16,16302,7.226107226107226,34.32835820895522,47,Hors vacances
2015-02-17,16077,5.386577097717236,32.7603240466311,48,Hors vacances
2015-02-18,16175,0.884080370942813,23.979273317517794,49,Hors vacances
2015-02-19,16402,0.7194244604316548,22.915129151291513,50,Hors vacances
2015-02-20,16470,1.8397085610200363,24.475871479965264,51,Hors vacances
2015-02-21,12897,7.257501744591766,25.93810607977064,52,Hors vacances
2015-02-22,15177,4.935099163207485,33.21741549589651,53,Hors vacances
2015-02-23,16375,8.054961832061068,26.77762982689747,54,Hors vacances
2015-02-24,15906,4.847227461335345,25.494214876033055,55,Hors vacances
2015-02-25,16159,7.333374590011759,24.342413493072755,56,Hors vacances
2015-02-26,16441,4.689495772763213,37.02282754651832,57,Hors vacances
2015-02-27,16460,4.914945321992709,25.66875719953923,58,Hors vacances
2015-02-28,12882,9.082440614811365,24.792255632656556,59,Hors vacances
2015-03-01,15171,9.979566277766793,41.308369718049285,60,Hors vacances
2015-03-02,16449,3.544288406590066,34.938006072874494,61,Hors vacances
2015-03-03,15988,5.760570427820866,37.32130928523714,62,Hors vacances
2015-03-04,16238,7.599458061337604,25.572059413890003,63,Hors vacances
2015-03-05,16622,17.194080134761162,31.209258038526333,64,Hors vacances
2015-03-06,16686,2.8526908785808462,29.051383399209485,65,Hors vacances
2015-03-07,14226,0.8224377899620413,14.654560930628458,66,Hors vacances
2015-03-08,16109,0.7573406170463716,17.148941500688963,67,Hors vacances
2015-03-09,16882,0.8589029735813292,15.320167564332735,68,Hors vacances
2015-03-10,16417,1.0294207224218799,13.922488274500122,69,Hors vacances
2015-03-11,16696,0.7546717776712986,16.16944024205749,70,Hors vacances
2015-03-12,16977,0.3121870766330918,18.268434134217067,71,Hors vacances
2015-03-13,17028,0.27014329339910736,17.602311593348272,72,Hors vacances
2015-03-14,14364,0.35505430242272346,16.080437219730943,73,Hors vacances
2015-03-15,16160,0.9344059405940593,17.78584392014519,74,Hors vacances
2015-03-16,16903,0.33130213571555345,10.49034175334324,75,Hors vacances
2015-03-17,16427,0.7183295793510683,13.702247881095689,76,Hors vacances
2015-03-18,16691,0.9945479599784315,13.883506902397674,77,Hors vacances
2015-03-19,16964,0.2711624616835652,13.44016083254494,78,Hors vacances
2015-03-20,16993,3.413170128876596,23.989498107216995,79,Hors vacances
2015-03-21,14341,0.6763824001115682,16.139685216413717,80,Hors vacances
2015-03-22,16135,0.3594669972110319,16.44773703542302,81,Hors vacances
2015-03-23,16901,4.206851665581919,24.2548435171386,82,Hors vacances
2015-03-24,16423,0.8341959447116848,11.978366418781881,83,Hors vacances
2015-03-25,16700,0.3053892215568862,17.983749623833887,84,Hors vacances
2015-03-26,16962,0.7782101167315175,23.46252306959576,85,Hors vacances
2015-03-27,16982,0.33564951124720294,23.776513804953193,86,Hors vacances
2015-03-28,14314,0.3493083694285315,13.077679449360865,87,Hors vacances
2015-03-29,16100,0.2670807453416149,13.023690773067331,88,Hors vacances
